x,y
348.17,599
353.13,601
358.15,605
363.15,610
368.15,616
373.14,617
378.12,621
383.16,626
388.15,631
393.13,636
398.17,639
403.14,642
408.18,644
413.15,647
418.18,649
423.14,651
