x,y
294.15,624
295.15,625
296.15,626
297.15,626
298.15,627
299.15,628
300.15,628
301.15,629
302.15,629
303.15,630
304.15,631
305.15,631
306.15,632
307.15,633
308.15,633
309.15,634
310.15,635
311.15,635
312.15,636
313.15,637
314.15,637
315.15,638
316.15,639
317.15,639
318.15,640
319.15,641
320.15,641
321.15,642
322.15,643
323.15,644
324.15,644
325.15,645
326.15,645
327.15,646
328.15,647
329.15,647
330.15,648
331.15,649
332.15,649
333.15,650
334.15,651
335.15,651
336.15,652
337.15,652
338.15,653
339.15,654
340.15,654
341.15,655
342.15,655
343.15,656
344.15,657
345.15,657
346.15,658
347.15,658
348.15,659
