1,2,3,4
1514.50,1498.50,1505.50,1501.80
1505.70,1490.10,1496.70,1493.20
1495.90,1481.50,1488.10,1484.70
1478.80,1473.20,1479.70,1476.40
1461.40,1464.90,1470.90,1467.70
,1456.70,,
