sound1,sound2
1452.2,1363.9
1445.5,1357.6
1438.3,1349.8
1430.7,1342.1
1412.3,1323.0
1392.4,1301.8
1370.6,1278.3
1342.2,1247.7
1308.5,1211.2
1267.9,1164.3
1245.6,1138.4
1223.1,1109.7
1201.1,1079.2
