sound1,sound2
1875.9,1781.9
1862.0,1767.8
1838.2,1743.5
1805.7,1710.3
1768.2,1671.5
1711.0,1611.5
1641.0,1539.2
1560.9,1455.6
1466.4,1355.8
1345.1,1225.4
1281.9,1155.0
