x1,x2
0.0499,0.0499
0.1000,0.1000
0.1503,0.1503
0.1999,0.1999
0.3009,0.3009
0.4001,0.4001
0.5015,0.5015
0.5932,0.5932
0.6928,0.6928
0.8020,0.8020
0.8517,0.8517
0.9017,0.9017
0.9492,0.9492
