sound1,sound2
1234.39,1149.96
1228.98,1143.69
1221.97,1135.61
1214.59,1127.34
1203.00,1113.92
1190.87,1099.70
1174.52,1079.67
1158.16,1058.32
1142.58,1033.24
1139.30,1020.73
