y1,y2
1437.1,1350.7
1439.2,1352.9
1441.0,1354.2
1445.9,1359.5
1449.1,1362.7
1452.7,1366.2
1456.2,1369.7
1461.1,1374.7
1466.7,1380.0
1472.6,1385.9
1479.6,1393.0
1488.0,1401.7
1498.4,1412.9
1509.1,1424.7
1522.5,1440.7
1537.6,1461.5
