x1,x2
0.0178,0.0178
0.0502,0.0502
0.1004,0.1004
0.1501,0.1501
0.2002,0.2002
0.2507,0.2507
0.2980,0.2980
0.3498,0.3498
0.4000,0.4000
0.4498,0.4498
0.4976,0.4976
0.5495,0.5495
0.6039,0.6039
0.6476,0.6476
0.6996,0.6996
0.7510,0.7510
