sound1,sound2
1223.11,1135.19
1218.93,1130.04
1214.06,1124.01
1209.19,1117.99
1200.59,1107.22
1192.30,1096.99
1181.86,1083.47
1168.44,1065.52
1152.54,1040.64
1145.72,1025.63
